,,Total Grains/Cereals-Area Harvested-1000 Ha,Total Grains/Cereals-Yield-MT / Ha,Total Grains/Cereals-Production Quantity-1000 MT,"Economic Data-Gross Domestic Product, constant prices-Percent change",Economic Data-GDP (constant 2005 US$)-Million,Economic Data-Imports of goods and services (constant 2005 US$)-Million,Economic Data-Exports of goods and services (constant 2005 US$)-Million,Economic Data-WB GDP (constant 2005 US$) / FAO population-$/Person,Total Grains/Cereals-Import Quantity-1000 MT,Total Grains/Cereals-Import Value-Million US$,Total Grains/Cereals-Import Unit Value-US$ / MT,Total Grains/Cereals-Export Quantity-1000 MT,Total Grains/Cereals-Stock Variation-1000 MT,Total Grains/Cereals-Feed + Seed-1000 MT,Total Grains/Cereals-Waste + Processed + OtherUtilization-1000 MT,Total Grains/Cereals-Food Availability-1000 MT,Total Grains/Cereals-Food Availability per capita-kg/cap/yr,Population-Total Population - Both Sexes-Million,Root Crops (R&T)-FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT-Conversion Rate,Root Crops (R&T)-Area Harvested-1000 Ha,Root Crops (R&T)-Yield-MT / Ha,Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Import Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Export Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Feed + Seed-Grain Equiv. 1000 MT,Root Crops (R&T)-Waste + Processed + OtherUtilization - Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Food Supply-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Area Harvested-1000 Ha,Other-Food Supply-Grain Equiv. 1000 MT / yr,Other-Food Supply-Grain Equiv. kg/cap/yr,Food Aid-Cereal Food Aid-Grain Equiv. 1000 MT,Food Aid-Total-Grain Equiv. 1000 MT,Food Aid-Non-Cereal Food Aid-Grain Equiv. 1000 MT
1980,Algeria,3181.38,0.76025951,2418.6744,-5.4,50817.86555,23782.38072,19637.94621,2701.497292,3413.81,780.48,228.624323,0.0,-931.713,763.81246,314.703,3750.007,199.3518154,18.811,0.252459016,76.01,1.961614197,149.1022951,42.42674754,0.0,-12.53888197,22.39387213,34.53639344,134.5990295,7.155336213,2567.776695,206.5071516,6024.013443,3257.39,1179.964073,347.6137432,,,
1980,Egypt,1978.165,3.693492044,7306.33669,3.409,29082.08636,17147.30385,6230.543681,646.9586751,6027.77,1139.62,189.0616264,98.201,145.607,2829.983,1076.912,9356.232,208.1382808,44.952,0.238004466,76.832,4.318059342,331.7651353,4.903368008,35.31819672,0.0,29.99475083,33.65644954,237.6991063,5.287842727,7638.101825,213.4261236,13670.77519,2054.997,2475.294574,329.1946275,,,
1980,Morocco,4428.55,1.017296763,4505.14958,3.792,25330.42014,5768.345685,3338.768767,1294.547971,1820.838,351.463,193.0226632,22.159,-495.818,825.068,522.164,4457.491,227.8065621,19.567,0.255892256,38.077,3.659117459,139.3282155,7.519649832,11.23341414,0.0,22.54666155,14.58278788,98.48499663,5.033219024,4644.477795,232.8397811,6472.835445,4466.627,992.0824764,358.771414,,,
1980,Tunisia,1307.2,0.915544676,1196.8,7.4,11503.80405,6367.642589,4548.026542,1781.601991,816.954,183.482,224.5928167,1.309,-52.0,489.49694,137.262,1338.218,207.2507356,6.457,0.244794613,10.7,2.745360143,29.37535354,3.086860067,1.06191903,0.0,2.203151515,3.245486976,25.95190088,4.019188613,1226.175354,211.2699242,2046.216214,1317.9,451.0896203,362.5297746,,,
1980,Cameroon,1031.73,0.849638171,876.59719,9.9,8699.570311,1406.764013,1683.87585,954.9473448,140.322,35.174,250.6663246,4.593,-10.74,51.155,146.562,868.925,95.38144896,9.11,0.324995298,364.3,1.471355326,536.0147452,0.0273,0.0013,23.07466617,79.33200226,48.76099455,407.947748,44.78021383,1412.611935,140.1616628,1552.961235,1396.03,820.1210122,257.1847496,,,
1980,CAR,191.665,0.498426943,95.531,-2.995,991.2635262,407.2188169,250.0119786,435.9118409,11.815,3.868,327.3804486,0.022,-3.568,8.14791,13.517,87.173,38.33465259,2.274,0.299989916,339.21,0.974965017,330.7178834,0.0279,0.0,0.0,4.531347686,11.0252294,315.1892054,138.6056312,426.2488834,176.9402838,438.0917825,530.875,100.6607872,268.9899036,,,
1980,DRCongo,1113.1,0.728576139,810.9781,2.405,9512.447453,4906.781162,3364.040999,352.0651191,350.068,76.9,219.6716067,0.0,0.0,44.69,0.0,0.0,0.0,27.019,0.0,1977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,810.9781,,1161.0461,3090.2,,,,,
1980,Burundi,203.668,1.047145354,213.27,-6.825,791.4030889,184.3341221,69.7177099,191.6230239,19.177,7.423,387.0782708,0.0,0.0,9.00816,69.277,165.841,40.15520581,4.13,0.299513068,152.9,2.017648527,308.4984597,0.0,0.0,0.0,2.995130677,43.42939481,262.0739342,63.45615841,521.7684597,103.6113642,540.9454597,356.568,517.0510058,234.9079632,,,
1980,Eritrea,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1980,Ethiopia,,,,3.997,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1980,Kenya,1796.75,1.234616279,2218.2968,5.572,8740.219572,2509.894891,1965.981315,537.2645422,386.718,85.799,221.8645111,0.326,155.025,146.233,216.822,2390.758,146.9607819,16.268,0.318034483,160.5,2.359914937,378.7663474,0.0204,0.337116552,0.0245,16.02893792,23.91746523,338.5031819,20.80791627,2597.063147,167.7686982,2983.801502,1957.25,1075.200353,271.2113515,,,
