,CountryCode,Year,tmpf,dwpf,mslp,sknt,feel,relh,ice_accretion_6hr,p01i,Country,Total Grains/Cereals-Area Harvested-1000 Ha,Total Grains/Cereals-Yield-MT / Ha,Total Grains/Cereals-Production Quantity-1000 MT,"Economic Data-Gross Domestic Product, constant prices-Percent change",Economic Data-GDP (constant 2005 US$)-Million,Economic Data-Imports of goods and services (constant 2005 US$)-Million,Economic Data-Exports of goods and services (constant 2005 US$)-Million,Economic Data-WB GDP (constant 2005 US$) / FAO population-$/Person,Total Grains/Cereals-Import Quantity-1000 MT,Total Grains/Cereals-Import Value-Million US$,Total Grains/Cereals-Import Unit Value-US$ / MT,Total Grains/Cereals-Export Quantity-1000 MT,Total Grains/Cereals-Stock Variation-1000 MT,Total Grains/Cereals-Feed + Seed-1000 MT,Total Grains/Cereals-Waste + Processed + OtherUtilization-1000 MT,Total Grains/Cereals-Food Availability-1000 MT,Total Grains/Cereals-Food Availability per capita-kg/cap/yr,Population-Total Population - Both Sexes-Million,Root Crops (R&T)-FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT-Conversion Rate,Root Crops (R&T)-Area Harvested-1000 Ha,Root Crops (R&T)-Yield-MT / Ha,Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Import Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Export Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Feed + Seed-Grain Equiv. 1000 MT,Root Crops (R&T)-Waste + Processed + OtherUtilization - Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Food Supply-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Area Harvested-1000 Ha,Other-Food Supply-Grain Equiv. 1000 MT / yr,Other-Food Supply-Grain Equiv. kg/cap/yr,Food Aid-Cereal Food Aid-Grain Equiv. 1000 MT,Food Aid-Total-Grain Equiv. 1000 MT,Food Aid-Non-Cereal Food Aid-Grain Equiv. 1000 MT
0,AF,1980,63.507105549978064,40.29393702099166,1012.0714297662824,4.025316944571724,62.544065500015314,49.3117876580255,,,Afghanistan,3018.5,1.303231738,3933.805,,,,,,17.1,5.798,339.0643275,0.0,0.0,226.32,0.0,0.0,0.0,14.186,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3933.805,,3950.905,3036.4,,,,,
1,AF,1981,64.20594594465821,41.65843411974078,1012.3537215823502,3.8230752119536393,63.82033298967408,49.64671697751737,,,Afghanistan,2909.0,1.293616363,3763.13,,,,,,96.5,24.8,256.9948187,0.0,0.0,218.1575,0.0,0.0,0.0,13.984,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3763.13,,3859.63,2926.7,,,,,
2,AF,1982,62.434430847076946,40.48410951738639,1013.0347338032931,2.7436666161952243,61.75140869597835,51.65521495114674,,,Afghanistan,2799.5,1.286939811,3602.788,,,,,,74.9,18.5,246.9959947,0.0,0.0,205.92998,0.0,0.0,0.0,13.673,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3602.788,,3677.688,2817.1,,,,,
3,AF,1983,63.55729313985578,41.87691921564182,1012.4326349426043,3.5543381642860616,63.09916796553597,51.06191747747257,,,Afghanistan,2649.0,1.311608154,3474.45,,,,,,79.503,16.878,212.2938757,0.0,0.0,199.51998,0.0,0.0,0.0,13.3,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3474.45,,3553.953,2666.0,,,,,
4,AF,1984,63.021089855912635,40.40850351090389,1012.6656225533878,3.779191282719168,62.32317130528018,49.63763047860781,,,Afghanistan,2562.0,1.290701795,3306.778,,,,,,21.15,4.314,203.9716312,0.0,0.0,189.61752,0.0,0.0,0.0,12.932,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3306.778,,3327.928,2580.0,,,,,
5,AF,1985,64.27384783886104,40.31745422141649,1011.7176179913328,4.231464289518043,63.52140181136172,47.719768093178516,,,Afghanistan,2434.5,1.288329842,3136.439,,,,,,58.424,11.829,202.4681638,0.0,0.0,183.03502,0.0,0.0,0.0,12.625,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3136.439,,3194.863,2452.1,,,,,
6,AF,1986,53.54606405490135,39.00673480681298,1019.6473739283784,5.946667158741124,51.09327673655298,64.66523093306978,,,Afghanistan,2347.0,1.266345121,2972.112,,,,,,109.173,20.058,183.7267456,0.0,0.0,197.64,0.0,0.0,0.0,12.372,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2972.112,,3081.285,2362.0,,,,,
7,AF,1987,64.98346630012668,40.25755982724939,1012.8678212462702,4.355542443168093,64.42647116482264,45.651114068848706,,,Afghanistan,2496.0,1.316549679,3286.108,,,,,,271.765,53.276,196.0370173,0.0,0.0,184.58,0.0,0.0,0.0,12.183,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3286.108,,3557.873,2510.0,,,,,
8,AF,1988,66.19952452909122,41.91602187923829,1011.1068460322523,4.7679677911615785,65.8105806728878,46.77601720832599,,,Afghanistan,2331.0,1.236714286,2882.781,,,,,,232.784,38.169,163.9674548,0.0,0.0,181.9,0.0,0.0,0.0,12.157,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2882.781,,3115.565,2345.0,,,0.0,0.0,0.0
9,AF,1989,66.2394311345818,43.61866886606255,1012.4965772031303,5.508342118368445,65.39911028343971,51.432981449553814,,,Afghanistan,2290.0,1.191021834,2727.44,,,,,,281.821,53.235,188.8964981,0.0,0.0,178.68,0.0,0.0,0.0,12.415,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2727.44,,3009.261,2303.3,,,362.8871387,378.2602356,15.37309696
10,AF,1990,69.99145468934279,46.555209874511455,1009.8804513737213,4.686802114138275,68.7423895261698,51.302706329654136,,,Afghanistan,2253.0,1.151403018,2594.111,,,,,,514.0,87.61,170.4474708,0.0,-42.0,73.0,187.0,2806.111,215.3246624,13.032,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2594.111,,3108.111,2266.3,,,43.44299911,52.36083414,8.91783503
11,AF,1991,58.92243249110998,40.456950040847154,1011.4069498969343,4.833895222759561,58.04649428942659,56.667305145846235,,,Afghanistan,2348.269,1.112479022,2612.4,,,,,,720.0,41.6,57.77777778,0.0,-153.0,194.0,235.0,2750.4,195.4797441,14.07,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2612.4,,3332.4,2361.669,,,29.3125,31.0197294,1.707229397
12,AF,1992,53.02140246237202,35.562631956272305,1012.1696780946671,6.662595820713466,50.47898783434687,58.70084456779101,,,Afghanistan,2250.0,1.031155556,2320.1,,,,,,795.0,25.6,32.20125786,0.0,118.0,167.0,222.0,2844.1,183.8223888,15.472,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2320.1,,3115.1,2263.5,,,85.9693558,87.1991058,1.22975
13,AF,1993,67.28,37.535,1011.2916666666666,29.833333333333332,60.7175,48.028749999999995,,,Afghanistan,2627.839,1.065552342,2800.1,,,,,,830.0,40.0,48.19277108,0.0,-90.0,255.0,270.0,3015.1,176.8075998,17.053,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2800.1,,3630.1,2641.439,,,141.7833894,151.5682182,9.784828788
14,AF,1994,70.988,44.15,990.875,35.6,67.80999999999999,57.675,,,Afghanistan,2757.0,1.082879942,2985.5,,,,,,877.0,25.7,29.30444698,0.0,-15.0,278.0,285.0,3284.5,177.0238224,18.554,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2985.5,,3862.5,2770.8,,,91.82878125,104.4775574,12.64877615
15,AF,1995,74.16499999999999,45.5,,10.75,74.16499999999999,43.4,,,Afghanistan,2577.011,1.145551959,2952.1,,,,,,1098.0,37.72,34.35336976,0.0,160.0,343.0,381.0,3486.1,176.1546235,19.79,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2952.1,,4050.1,2590.911,,,136.0575488,145.7020904,9.644541627
16,AF,1996,51.44,38.45,1014.4,6.85,49.73833333333333,62.5,,,Afghanistan,2690.73,1.152884162,3102.1,,,,,,791.3,38.4,48.52773916,0.0,241.0,332.0,413.0,3389.4,163.857868,20.685,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3102.1,,3893.4,2704.73,,,118.1126405,124.7434484,6.630807975
17,AF,1997,70.7,37.58,,19.0,70.7,29.78,,,Afghanistan,2729.075,1.300733765,3549.8,,,,,,694.0,34.5,49.71181556,0.0,-189.0,370.0,330.0,3354.8,157.5097422,21.299,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3549.8,,4243.8,2743.075,,,237.3426313,248.9779787,11.63534742
18,AF,1998,65.12,32.0,1010.4,4.0,65.12,28.9,,,Afghanistan,2790.534,1.335282064,3726.15,,,,,,614.1,17.8,28.98550725,0.0,-107.0,380.0,365.0,3488.25,160.3645642,21.752,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3726.15,,4340.25,2804.534,,,66.51891068,76.34925901,9.830348329
19,AF,2001,92.47999999999999,39.83,,16.0,88.185,17.305,,,Afghanistan,2094.0,0.949408309,1988.061,,,,,,1470.0,150.0,102.0408163,0.0,231.0,170.0,175.0,3344.061,141.2366854,23.677,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1988.061,,3458.061,2108.0,,,280.6269063,305.1197069,24.49280066
20,AF,2002,63.02735141385523,30.058730289887457,1004.6027557658338,5.524107831184004,62.10070353727614,36.201990317192084,,0.0,Afghanistan,2238.0,1.612062556,3607.796,,5150.441046,3362.604705,1668.058855,209.0276399,1178.0,136.375,115.7682513,0.0,-272.0,450.0,530.0,3533.796,143.4170455,24.64,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3607.796,,4785.796,2252.0,,,504.9670117,646.3073406,141.3403288
21,AF,2003,56.15852651018767,28.642207725712254,1011.5811089751351,5.134748091024657,54.95395210532816,42.78214434408054,,0.0,Afghanistan,3004.7,1.703712517,5119.145,8.444,5585.352695,5269.454651,2432.804773,217.5066278,876.0,129.884,148.2694064,0.0,-650.0,250.0,1055.0,4040.145,157.3326454,25.679,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5119.145,,5995.145,3025.7,,,195.6727243,289.8954119,94.2226876
22,AF,2004,60.53850568370322,29.785502123629186,1013.2036853795237,6.074905933391498,59.60827068419979,40.70402986369061,,0.0,Afghanistan,2667.0,1.278648294,3410.155,0.671,5644.30921,4918.412915,1918.867256,211.4527857,1096.0,106.702,97.35583942,0.0,683.0,299.0,483.0,4407.155,165.105271,26.693,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3410.155,,4506.155,2684.0,,,185.6585656,307.6782022,122.0196366
23,AF,2005,66.01795138308177,34.530503272292144,1011.4329181863637,5.6910466568902045,64.70430350150198,40.55756574065388,,2.6753965207817063e-05,Afghanistan,3030.0,1.737567327,5264.829,11.83,6275.076016,4861.122237,1719.073112,227.2343297,1294.2,192.2,148.5087313,0.0,-760.0,395.0,982.0,4422.029,160.1314141,27.615,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5264.829,,6559.029,3050.0,,,143.99755,302.4243058,158.4267558
24,AF,2006,66.34026577056382,32.82154857170478,1011.3653465744652,6.289731075395667,64.57622283034515,39.53180966897417,,1.5633605164995204e-05,Afghanistan,2989.0,1.491752091,4458.847,5.361,6623.602375,4907.099578,1753.286932,233.0531077,1233.4,230.523,186.9004378,0.0,238.0,450.0,886.0,4594.247,161.6497308,28.421,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4458.847,,5692.247,3009.0,,,130.7115599,213.2469843,82.53542443
25,AF,2007,66.06735966179474,35.34794281597456,1013.2911302125582,5.9605196775689135,64.74727920180506,41.497710204396974,,0.0001155146743162428,Afghanistan,3021.0,1.852624959,5596.78,13.34,7533.698917,4395.916846,1342.78497,258.4814011,1374.5,305.023,221.9156057,0.0,-548.0,453.0,1184.0,4786.28,164.2173883,29.146,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5596.78,,6971.28,3041.0,,,174.041286,293.8077741,119.7664881
26,AF,2008,63.11679463731721,27.95354229573482,1026.1828140431178,5.6681086240719685,61.202000890581495,35.187191847084065,,0.0002864175320337695,Afghanistan,2714.0,1.347840825,3658.04,3.863,7805.76854,4298.835435,1404.489958,261.5874176,2585.4,833.776,322.4940048,0.0,220.0,495.0,987.0,4981.04,166.924933,29.84,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3658.04,,6243.44,2734.0,,,292.4546171,380.8801514,88.42553432
27,AF,2009,64.06197064703885,30.909428906394563,1014.2603185194871,5.928038855375782,62.33676178077399,39.02276318934778,,5.781522465909755e-05,Afghanistan,3192.0,1.972164787,6295.15,20.585,9446.591725,3986.388824,1389.36588,308.9342575,2480.8,515.631,207.8486778,0.0,-1090.0,748.0,1803.0,5134.95,167.9295572,30.578,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6295.15,,8775.95,3213.6,,,171.4569674,259.6770943,88.22012694
28,AF,2010,64.50894441008803,29.060124383570145,1014.5162488567026,4.15558071198418,63.20059188635576,34.42429096501342,,0.00043604196978008536,Afghanistan,2962.0,1.924118839,5699.24,8.438,10243.25025,4603.672956,1026.768014,326.093539,1107.3,296.951,268.1757428,0.0,205.0,480.0,1246.0,5285.54,168.2649943,31.412,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5699.24,,6806.54,2982.5,,,99.55768191,231.3970829,131.839401
29,AF,2011,63.75719569524966,29.929449059070667,1012.9157699428066,4.3986614460801094,62.08745329348551,38.3585108001573,,0.004664077199142701,Afghanistan,2820.0,1.535900709,4331.24,6.479,10869.49032,4803.656907,663.8295566,335.9135397,2250.4,488.484,217.0654106,0.0,315.0,409.0,1001.0,5486.64,169.5605414,32.358,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4331.24,,6581.64,2840.5,,,124.6813031,255.2660219,130.5847187
30,AF,2012,62.53048357698271,30.207348843023087,1012.8272152793364,4.506748596129458,60.703716252104876,39.22102273420558,,0.0015671754663036232,Afghanistan,3122.0,1.965570147,6136.51,13.968,12433.11954,4868.999635,686.2518388,372.2825265,1252.0,,,0.0,220.0,403.0,1698.0,5507.51,164.9103213,33.397,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6136.51,,7388.51,3143.5,,,77.9359734,146.21442,68.27844658
31,AF,2013,66.16362303258957,32.779105596261736,1012.6285394292282,4.859359241177189,64.46447169810158,38.76733830351798,,0.0004296951764772554,Afghanistan,,,5325.5,3.596,,,,,2097.0,,,0.0,195.0,403.0,1698.0,5516.5,159.8985507,34.5,0.0,,,,,,,,,0.0,,5325.5,,7422.5,,,,,,
32,AM,2001,59.307481023577665,44.55652939626711,,5.121269333034332,58.65017116273401,62.02420131086736,,0.0,Armenia,191.331,1.902462225,364.0,9.468,3018.226683,1268.380757,706.8703856,984.4183573,317.1,53.325,168.1646168,0.0,4.0,175.0,70.0,440.1,143.5420744,3.066,0.264184028,31.752,3.027183533,96.11913154,0.633249114,0.0,6.86878472,39.62760416,-4.590461665,61.71523816,20.12891003,460.1191315,163.6709844,777.8523807,223.083,216.0680489,282.8389754,16.43531181,38.98148389,22.54617208
33,AM,2002,52.86283043234369,40.189219259907425,,4.691417159192972,51.91001735859037,65.7229185924039,,0.0,Armenia,184.869,2.255651299,417.0,14.807,3416.219125,1508.702067,960.0505263,1116.046757,357.7,56.918,159.1221694,0.0,-114.0,167.0,70.0,423.7,138.4188174,3.061,0.262836186,30.474,3.227993024,98.36985941,0.535660147,0.0,18.66136919,50.46454768,-16.27455379,64.71552567,21.14195546,515.3698594,159.5607728,873.6055196,215.343,245.8893566,287.4424041,35.88542932,49.57415653,13.68872721
34,AM,2003,65.30000000000001,39.65,,7.2875,65.30000000000001,40.239999999999995,,0.0,Armenia,194.816,1.586112024,309.0,14.052,3895.883451,1909.138665,1239.127744,1272.748595,365.5,50.4,137.8932969,0.0,-61.0,137.0,50.0,426.5,139.3335511,3.061,0.263136621,32.286,4.136361629,133.5465715,0.779147534,0.00184,-26.31366209,65.78415521,29.04081002,38.68318836,12.63743494,442.5465715,151.9709861,808.8257191,227.102,281.0576299,299.3935488,29.64034241,43.72391943,14.08357703
35,AM,2007,21.18235294117647,16.04705882352941,,1.619705882352941,19.438529411764705,80.94617647058824,,0.0,Armenia,172.629,2.554611334,441.0,13.749,6309.891834,2483.760232,1262.272807,2052.664878,389.4,120.967,310.6497175,0.0,-56.4,245.0,53.0,476.0,154.8471047,3.074,0.261544586,31.612,4.831227897,152.7247763,1.655315685,0.0131,-14.49610868,80.68650478,33.90271696,39.77779299,12.94007579,593.7247763,167.7871805,984.780092,204.241,392.0567363,352.5915865,90.92601718,93.0286887,2.102671517
36,AM,2009,46.0,31.600000000000005,,4.105555555555555,43.71888888888889,59.97888888888889,,0.0,Armenia,164.014,2.176643457,357.0,-14.15,5790.818814,2154.176435,982.6706017,1877.088756,412.5,111.502,270.3078788,0.0,8.0,241.0,57.0,479.5,155.4294976,3.085,0.26099071,31.998,4.841280614,154.9112971,0.365908976,1.542455098,14.95528968,100.5336216,8.794864956,44.40626441,14.39425102,511.9112971,169.8237486,924.7772061,196.012,428.875463,370.6352273,0.183476064,8.032772388,7.849296324
37,AM,2010,54.9977980390576,37.15716986369311,,4.508722639382748,54.62726565864644,55.63035292122047,,0.0,Armenia,155.666,2.107075405,328.0,2.2,5918.216827,2429.911018,1243.078311,1914.041665,313.5,107.691,343.5119617,0.0,131.0,239.0,59.0,474.5,153.4605433,3.092,0.26099071,28.326,4.440656598,125.7860388,0.365908976,1.542455098,14.95528968,96.72315724,8.794864956,19.09147046,6.174472982,453.7860388,159.6350163,767.6519478,183.992,429.8486002,360.4464951,0.395503862,1.997872791,1.602368929
38,AM,2011,53.519647950022964,38.034983543834315,,4.736727953477408,52.73597263889076,60.86672831313632,,0.0,Armenia,158.838,2.644203528,420.0,4.7,6196.373018,2395.892264,1425.810823,1998.830006,445.5,117.236,263.1560045,0.0,-91.0,231.0,70.0,473.5,152.7419355,3.1,0.26099071,28.665,5.07433681,145.4558647,0.365908976,1.542455098,14.95528968,97.06244517,8.794864956,38.42200841,12.39419626,565.4558647,165.1361317,1011.321774,187.503,430.960757,365.9476105,0.11813875,0.409292521,0.291153771
39,AM,2012,50.498838530825964,35.05322828939646,,4.17271437118323,49.178953119819745,61.577866378623035,,0.0,Armenia,170.272,2.560608908,436.0,7.134,6642.007849,2324.015496,1578.372581,2136.380781,236.0,,,0.0,114.0,238.0,70.0,478.0,153.7471856,3.109,0.26099071,31.243,5.406441402,168.9134487,0.365908976,1.542455098,14.95528968,98.44569593,8.794864956,60.4963417,19.45845664,604.9134487,173.2056422,841.2793577,201.515,432.2119333,374.017121,0.00209,0.010492153,0.00841
40,AM,2013,49.709775034620456,34.51608916083425,,4.371308010890721,48.45007055072522,62.01241660940317,,0.0,Armenia,,,429.0,3.19,,,,,326.0,,,0.0,28.0,235.0,70.0,478.0,153.3033996,3.118,0.26099071,,,,,,,,,0.0,19.45845664,429.0,172.7618563,755.0,,433.4631097,373.573335,,,
41,AO,1980,69.06121490641712,57.54847448533784,1014.2465898723773,6.578607909188426,72.91322080143348,64.72308093771298,,,Angola,704.0,0.612694602,431.337,2.406,,,,,340.937,93.721,274.8924288,1.1,-70.0,29.061,82.481,612.017,80.12791307,7.638,0.322910885,363.5,1.203698072,437.5442492,3.459990133,0.0,0.0,12.94872649,14.39278397,413.6630517,54.15855613,868.8812492,134.2864692,1213.278239,1067.5,365.3889191,224.2642821,,,
42,AO,1981,73.95664646797869,64.33549943398204,1011.1321788934262,6.458446823929401,74.12243361769099,75.5303950169124,,,Angola,700.5,0.446352605,312.67,-4.4,,,,,288.403,89.48,310.2602955,0.0,95.714,27.012,80.584,611.486,77.37390864,7.903,0.322102944,363.5,1.200686354,436.4494898,1.55768984,0.0,0.0,12.91632807,14.16737591,410.9234756,51.99588456,749.1194898,129.3697932,1039.08018,1064.0,374.8112471,214.262735,,,
43,AO,1982,73.10986903999674,61.272717394502536,1011.5169348282699,5.842035744133451,73.94300537091904,69.75823844898665,,,Angola,699.0,0.445879828,311.67,0.0,,,,,290.735,71.7,246.6163345,0.0,67.143,26.451,75.48,583.987,71.28747559,8.192,0.324363636,363.5,1.218036764,442.7563636,0.973090909,0.0,0.0,13.07185455,14.20712727,416.4504727,50.83623935,754.4263636,122.1237149,1046.134455,1062.5,365.6987443,200.6389681,,,
44,AO,1983,73.53310247302413,64.3196883933971,1011.709481899875,4.096941711351885,75.12990479222923,75.81489639467274,,,Angola,695.4,0.480782284,334.336,4.2,,,,,287.15,59.7,207.905276,0.0,68.0,27.121,69.76,609.296,71.74941121,8.492,0.324610733,373.5,1.203710483,449.5858655,0.9738322,0.0,0.0,13.27657899,14.54256085,422.7405578,49.78103601,783.9218655,121.5304472,1072.045698,1068.9,364.4318885,197.733688,,,
45,AO,1984,74.3276956043956,61.658818181818184,1010.3433021978022,4.887326007326008,74.86145606060606,69.24905,,,Angola,688.8,0.462160279,318.336,6.0,,,,,362.585,65.6,180.9230939,0.0,-40.0,25.735,69.573,562.779,64.04677364,8.787,0.326043049,394.5,1.223177979,482.5437129,0.435267471,0.0,0.0,14.24808125,15.04167003,453.6895551,51.63190567,800.8797129,115.6786793,1163.89998,1083.3,388.5712788,191.9904808,,,
46,AO,1985,75.12796361718486,64.68305889736769,1011.0090565444897,4.739300632429896,76.74847840422491,71.88065572838993,,,Angola,685.8,0.446682706,306.335,3.5,13636.72233,3455.136527,4871.001101,1504.160857,261.472,43.45,166.1745808,0.0,62.0,28.617,64.464,547.826,60.42642841,9.066,0.325898079,424.5,1.213001093,514.9189641,0.904367168,0.0,0.0,15.21944027,15.73370744,484.8705094,53.48229753,821.2539641,113.9087259,1083.630331,1110.3,429.5348102,192.4367601,,,
47,AO,1986,75.9953356149319,66.55562655122633,1011.3623535000214,4.8321204379566955,77.87247092353475,73.82711007549246,,,Angola,899.0,0.377903226,339.735,2.9,14018.55055,4504.111563,5403.459895,1503.652317,158.61,21.929,138.2573608,0.0,145.714,30.734,69.006,561.542,60.2318996,9.323,0.325179689,434.5,1.227375582,533.2946905,1.016511709,0.0,0.0,15.70617899,16.34223047,502.2631179,53.87355121,873.0296905,114.1054508,1032.656202,1333.5,377.8364805,186.6301878,,,
48,AO,1987,77.59217868495935,70.08413431542304,1011.801658183805,7.338777475297438,80.2509581825792,78.49897252817105,,,Angola,956.0,0.380474895,363.734,4.083,15126.01604,4430.239483,4930.09672,1581.722895,287.236,38.588,134.3424919,0.0,4.286,30.377,64.31,560.638,58.62574506,9.563,0.323995705,444.5,1.224550695,544.3127838,1.74018093,0.0,0.0,16.16738566,16.3229036,513.5626755,53.7030927,908.0467838,112.3288378,1197.022965,1400.5,404.488744,183.9214647,,,
49,AO,1988,73.84575137494085,65.9113364758811,1012.0474584162083,4.149940569797029,75.95520018577913,77.97095642839236,,,Angola,1006.0,0.331743539,333.734,6.129,15973.07294,3535.643595,5274.616462,1629.905402,241.741,47.5,196.4912861,0.0,0.0,29.01,57.266,502.363,51.26153061,9.8,0.319922537,424.5,1.288733894,547.0675381,0.868269765,0.0,0.0,17.13185185,16.38003389,514.4239221,52.49223695,880.8015381,103.7537676,1123.410808,1430.5,416.7711547,179.4501039,106.5548519,136.7859492,30.23109726
50,AO,1989,65.92510204081633,51.51714285714286,1013.8452380952382,8.92687074829932,66.02493877551021,69.74167346938775,,,Angola,982.0,0.276375764,271.401,0.042,16036.96523,3077.783592,5432.211391,1595.241742,234.231,41.5,177.1755233,0.0,0.0,22.67567,49.39,452.876,45.04884114,10.053,0.332450882,427.75,1.398975075,598.4115884,1.306199517,0.0,0.0,18.78347486,17.38718115,563.5471319,56.05760787,869.8125884,101.106449,1105.349788,1409.75,444.3859052,182.4627195,47.89978661,71.58747002,23.68768342
51,AO,1990,69.5380365914787,67.10142443609023,1011.0546365914787,3.0481481481481483,74.09712343358396,81.75266651002507,,,Angola,774.281,0.320298445,248.001,-3.45,15988.85434,3346.220225,6221.666304,1547.058959,336.9,63.5,188.4832294,0.0,-16.0,12.0,44.0,482.501,46.68611514,10.335,0.326087602,415.528,1.411694666,586.5986613,3.260876021,0.0,0.0,18.58699332,17.24677327,554.0257707,53.60675092,834.5996613,100.2928661,1174.760537,1189.809,428.5858899,181.8515407,108.0475863,133.4805341,25.4329478
52,AO,1991,75.28271428571429,68.32106531311155,1010.1447433688387,3.654757326007326,76.81669995741828,81.33956380010147,,,Angola,891.2,0.416292639,371.0,0.991,15796.98809,4273.586213,4780.686628,1482.728373,390.0,58.718,150.5589744,0.0,-64.0,12.0,54.0,655.6,61.53557349,10.654,0.323045267,435.543,1.369191019,596.3415638,1.615226337,0.0,0.0,19.12427984,17.47674897,561.3557613,52.68967161,967.3415638,114.2252451,1358.95679,1326.743,375.5485676,187.6753058,122.7607892,152.8525065,30.09171728
